"To the door","До двери"
"To the warehouse","На склад"
"Novaposhta","Новая Почта"
"Min: 5","Минимум 5"
"Enabled","Включено"
"Carrier Name","Название доставки"
"Sort Order","Позиция"
"Ship to Applicable Countries","Доставка в"
"Ship to Specific Countries","Доставка в страны"
"Displayed Error Message","Текст ошибки если не доступен"
"API key","Ключ доступа"
"Default Package Length (sm)","Длина товара по-умолчанию (см)"
"Default Package Width (sm)","Ширина товара по-умолчанию (см)"
"Default Package Height (sm)","Высота товара по-умолчанию (см)"
"Default Package Weight","Вес товара по-умолчанию"
"Sender City","Город отправления"
"Sender Warehouse","Склад отправления"
"Complete status","Завершать заказ со статусом"
"Novaposhta: Status","Новая почта: Статус"
"Novaposhta: Barcode","Новая почта: Декларация"
"Declaration","Декларация"
"Status","Статус"
"Delete","Удалить"
"Successfully Sent, declaration №%s","Успешно отправлено, декларация №%s"
"Declaration №%s, canceled","Декларация №%s, отменена"
"Sender","Отправитель"
"Contact Sender","Агент"
"Recipient","Получатель"
"Firstname","Имя"
"Lastname","Фамилия"
"Middlename","Отчество"
"Telephone","Телефон"
"City","Город"
"Cities","Города"
"Warehouse","Склад"
"Warehouses","Склады"
"Order","Заказ"
"Increment Id","Номер заказа"
"Cost","Стоимость"
"Cost Control","Контроль оплаты"
"Seats Amount","Количество посылок"
"Description","Описание"
"Weight","Вес"
"Volume General","Общий объём"
"Delivery","Доставка"
"Service Type","Тип доставки"
"Payment Method","Тип оплаты"
"Payer Type","Тип плательщика"
"Cargo Type","Тип посылки"
"Send Date","Дата отправки"
"Delivary Date At","Дата доставки"
"Delivery Date At Interval","Время доставки"
"Saturday Delivery","Субботняя доставка"
"Backward Delivery","Обратная доставка"
"Redelivery String","Значение"
"Money","Деньги"
"Additional","Дополнительно"
"Additional Information","Дополнительная информация"
"Additional Documents","Сопроводительные документы"
"Send","Отправить"
"Example: %s","Пример: %s"
"Developer","Разработчик"
"Free Delivery UA","Бесплатная доставка Украина"
"Free Delivery Kiev","Бесплатная доставка Киев"
"From:","От:"
"Please choise the city","Выберите город"
"Please choise the warehouse","Выберите склад"
"Default Sender","Отправитель (по-умолчанию)"
"Default Agent","Агент (по-умолчанию)"
"Default Description","Описание (по-умолчанию)"
"Default Payment Method","Тип оплаты (по-умолчанию)"
"Default Payer Type","Плательщик (по-умолчанию)"
"Default Cargo Type","Тип доставки (по-умолчанию)"
"Default Backward Delivery Payer Type","Плательщик (обратная доставка) (по-умолчанию)"
"Default Backward Delivery Cargo Type","Тип доставки (обратная доставка) (по-умолчанию)"
"Pucking Number","Номер пакета"
"On Air","На лету"
"Update Cron for Cities and Warehouses","Cron выражение обновления городов и складов"
"Only if 'On Air' mode is disabled","Только если режим 'На лету' выключен"
"Cities and Warehouses direct from API","Города и Склады напрямую с API"
"Cities Management","Управление городами"
"Warehouses Management","Управление складами"
"Streets Management","Управление улицами"
"Novaposhta: Register","Новая почта: Реестр"
"Novaposhta: Print Marks","Новая почта: Печать Маркировок"
"Novaposhta: Print TTN","Новая почта: Печать ТТН"
"Novaposhta: Add to Register","Новая почта: Добавить в Реестр"
"Novaposhta: Delete from Register","Новая почта: Удалить из Реестра"
"Marks","Маркировки"
"TTN","ТТН"
"Total (sm), min 5","Всего (см), минимум 5"
"Default Width","Ширина (по-умолчанию)"
"Default Length","Длина (по-умолчанию)"
"Default Height","Высота (по-умолчанию)"
"Total Width","Ширина (Всего)"
"Total Height","Высота (Всего)"
"Total Length","Длина (Всего)"
"Print Marks","Печать Маркировок"
"Print TTN","Печать ТТН"
"Print","Печать"
"Street","Улица"
"Streets","Улицы"
"House","Дом"
"Flat","Квартира"
"Note","Комментарий"
